guid,manager_name,category,priority,language,summary,assigned_at
fe72383f-51f2-f011-8406-0022481baec1,Менеджер 18,Неработоспособность приложения,9,RU,"Пользователь сообщает о сбое в приложении, из-за которого не может зайти в портфель и пополнить отрицательный баланс брокерского счета. Рекомендация: необходимо срочно проверить работоспособность приложения и устранить ошибки, чтобы избежать дальнейших финансовых потерь для клиента.",2026-02-22T07:14:55.696132+00:00
fe44694a-10ed-f011-8406-0022481ba5f0,Менеджер 18,Консультация,3,RU,Клиент интересуется возможностью дробной покупки акций в приложении Freedom Broker и запрашивает последовательность действий для этого. Рекомендация: предоставить подробную инструкцию по дробным покупкам акций в приложении.,2026-02-22T07:14:55.696132+00:00
fcf7f86c-d6f9-f011-8406-0022481bad7e,Менеджер 29,Смена данных,5,RU,Клиент запрашивает закрытие своего брокерского счета. Рекомендация: Обработать запрос клиента на закрытие счета в соответствии с внутренними процедурами.,2026-02-22T07:14:55.696132+00:00
fa2cb876-2a53-ef11-bfe3-0022481ae37e,Менеджер 31,Мошеннические действия,8,RU,"Клиент осуществляет подозрительные переводы в страну, где не имеет постоянной регистрации. Рекомендуется уточнить у клиента причины этих переводов для предотвращения возможного мошенничества или несанкционированной активности. Рекомендация: провести дополнительное расследование и связаться с клиентом для получения разъяснений.",2026-02-22T07:14:55.696132+00:00
f79259e3-9cf2-f011-8406-0022481ba51f,Менеджер 39,Неработоспособность приложения,10,RU,"Клиент сообщает о блокировке своих счетов и требует их срочной разблокировки, выражая недовольство по поводу отсутствия причины блокировки. Рекомендация: Необходимо срочно проверить статус счетов клиента и предоставить ему информацию о причинах блокировки.",2026-02-22T07:14:55.696132+00:00
f51fc783-efe9-f011-8406-0022481bad7e,Менеджер 44,Неработоспособность приложения,7,RU,"Пользователь испытывает проблемы с открытием брокерского счета через приложение, получая сообщение об ошибке при использовании VPN. Рекомендация: Провести технический анализ проблемы и предложить пользователю альтернативные способы открытия счета.",2026-02-22T07:14:55.696132+00:00
f28c6881-b640-453d-93a3-38e0ae6a6fec,Менеджер 27,Неработоспособность приложения,8,RU,"Пользователь сообщает о том, что приложение не работает. Рекомендация: Необходимо проверить технические проблемы с приложением и предоставить пользователю обновленную информацию о статусе.",2026-02-22T07:14:55.696132+00:00
edafc984-35f2-f011-8406-0022481ba139,Менеджер 43,Смена данных,8,RU,"Клиент Ирина просит закрыть свои счета и удалить все данные из системы, так как она открыла счет по ошибке. Рекомендация: Убедиться, что запрос клиента будет обработан в кратчайшие сроки и предоставить подтверждение о закрытии счета.",2026-02-22T07:14:55.696132+00:00
ec40f690-52ed-f011-8406-0022481bad7e,Менеджер 24,Жалоба,5,RU,Клиент выражает недовольство по поводу регламентов компании. Рекомендация: Рассмотреть возможность улучшения клиентского сервиса и регламентов для повышения удовлетворенности клиентов.,2026-02-22T07:14:55.696132+00:00
e9e624ee-05ea-f011-8406-0022481ba303,Менеджер 48,Смена данных,5,RU,"Клиент хочет узнать, как перезагрузить фото селфи, так как приложение отсканировало неправильное лицо. Рекомендация: Предоставить инструкции по обновлению селфи в приложении.",2026-02-22T07:14:55.696132+00:00
e8020ba1-6df2-f011-8406-0022481bac13,Менеджер 44,Неработоспособность приложения,8,RU,"Пользователь сообщает о проблемах с загрузкой сайта биржи FreedomBr с 14.01.26, несмотря на стабильное интернет-соединение. Рекомендация: Провести техническую проверку сайта и устранить возможные неполадки.",2026-02-22T07:14:55.696132+00:00
e77b0223-acfa-f011-8406-0022481baa2c,Менеджер 5,Неработоспособность приложения,7,RU,"Пользователь сообщает о проблеме с получением SMS при регистрации через приложение на казахский номер. Рекомендация: Провести технический анализ проблемы с отправкой SMS и предложить альтернативные способы регистрации, если проблема не решится.",2026-02-22T07:14:55.696132+00:00
e6c283ce-94fd-f011-8406-0022481baec1,Менеджер 22,Мошеннические действия,8,RU,"Пользователь сообщает о том, что не получил деньги, что может указывать на мошеннические действия или проблемы с транзакцией. Рекомендация: Необходимо провести расследование по этому вопросу и связаться с пользователем для уточнения деталей.",2026-02-22T07:14:55.696132+00:00
e6b54941-13f2-f011-8406-0022481ba139,Менеджер 38,Смена данных,5,RU,"Пользователь сообщает о завершении процесса верификации. Рекомендация: подтвердить успешное завершение верификации и предоставить дальнейшие инструкции, если это необходимо.",2026-02-22T07:14:55.696132+00:00
e1c1d630-55e9-f011-8406-0022481ba51f,Менеджер 44,Неработоспособность приложения,7,RU,"Клиент сообщает о проблеме с отображением инвесторской карты, которая должна быть привязана к брокерскому счету, но не отображается в приложении. Рекомендация: Провести техническую проверку системы отображения карт и обеспечить клиенту необходимую информацию о статусе его карты.",2026-02-22T07:14:55.696132+00:00
dd8d4070-5806-f111-8407-0022481ba4d2,Менеджер 45,Спам,1,RU,"Клиент отправил сообщение о распродаже акций на оборудование, что не является запросом на поддержку. Рекомендация: Игнорировать и не отвечать на это сообщение.",2026-02-22T07:14:55.696132+00:00
da158b87-f1e9-f011-8406-0022481ba5f0,Менеджер 47,Консультация,3,RU,"Клиент запрашивает информацию о комиссии в 50 долларов за обслуживание бездействующих счетов, интересуясь причинами и сроками её удержания. Рекомендация: предоставить подробную информацию о правилах и условиях, связанных с этой комиссией.",2026-02-22T07:14:55.696132+00:00
da14acd3-b088-f011-b4cc-6045bd0b0339,Менеджер 20,Консультация,3,RU,"Клиент запрашивает информацию о том, как вывести денежные средства, размещенные на 3 месяца, на счет карты. Рекомендация: предоставить подробные инструкции по процессу вывода средств.",2026-02-22T07:14:55.696132+00:00
d8dcd8f8-b4eb-f011-8406-0022481ba388,Менеджер 39,Консультация,3,RU,"Клиент запрашивает информацию о доступе к ETF KSA и прямой торговле на Tadawul, связанным с рынком Саудовской Аравии. Рекомендация: предоставить информацию о доступных инвестиционных инструментах и условиях торговли на данном рынке.",2026-02-22T07:14:55.696132+00:00
d4d0377b-7cf1-f011-8406-0022481bac13,Менеджер 8,Спам,1,RU,Сообщение не содержит запроса на поддержку и выглядит как автоматическое уведомление. Рекомендация: Игнорировать данное сообщение.,2026-02-22T07:14:55.696132+00:00
d060d24e-6df7-f011-8406-0022481ba388,Менеджер 9,Спам,1,RU,"Клиент предлагает идею для организации мероприятия, связанного с праздником Наурыз, и просит направить письмо в отдел маркетинга. Рекомендация: Необходимо игнорировать данное сообщение, так как оно не относится к поддержке клиентов.",2026-02-22T07:14:55.696132+00:00
